Season;Round;HomeTeam;AwayTeam;LocalWin;PositionHome;GamesPlayedHome;WinsHome;DrawsHome;LossesHome;GoalsFavourHome;GoalsAgainstHome;GoalDifferenceHome;PointsHome;LeagueWeightHome;HistoricalPointsHome;HistoricalPositionHome;PositionAway;GamesPlayedAway;WinsAway;DrawsAway;LossesAway;GoalsFavourAway;GoalsAgainstAway;GoalDifferenceAway;PointsAway;LeagueWeightAway;HistoricalPointsAway;HistoricalPositionAway;Year;count_sixteenHome;count_quarterHome;count_semisHome;count_finalHome;count_championsHome;count_sixteenAway;count_quarterAway;count_semisAway;count_finalAway;count_championsAway;PositionChampionsHome;GamesPlayedChampionsHome;WinsChampionsHome;DrawsChampionsHome;LossesChampionsHome;GoalsFavourChampionsHome;GoalsAgainstChampionsHome;GoalDifferenceChampionsHome;PointsChampionsHome;PositionChampionsAway;GamesPlayedChampionsAway;WinsChampionsAway;DrawsChampionsAway;LossesChampionsAway;GoalsFavourChampionsAway;GoalsAgainstChampionsAway;GoalDifferenceChampionsAway;PointsChampionsAway
2013-2014;final;Real Madrid;Atlético Madrid;1;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.367380135333548;2.289473684210526;3.0;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788;1.367380135333548;2.3684210526315788;1.0;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788
2013-2014;final;Real Madrid;Atlético Madrid;1;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.367380135333548;2.289473684210526;3.0;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788;1.367380135333548;2.3684210526315788;1.0;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788
2013-2014;final;Real Madrid;Atlético Madrid;1;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.367380135333548;2.289473684210526;3.0;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788;1.367380135333548;2.3684210526315788;1.0;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788
2013-2014;semis;Real Madrid;Bayern Munich;1;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.367380135333548;2.289473684210526;3.0;1.0;34.0;0.8529411764705882;0.08823529411764706;0.058823529411764705;2.764705882352941;0.6764705882352942;2.088235294117647;2.6470588235294117;-0.3306736274989625;2.6470588235294117;1.0;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.0;34.0;0.8529411764705882;0.08823529411764706;0.058823529411764705;2.764705882352941;0.6764705882352942;2.088235294117647;2.6470588235294117
2013-2014;semis;Real Madrid;Bayern Munich;1;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.367380135333548;2.289473684210526;3.0;1.0;34.0;0.8529411764705882;0.08823529411764706;0.058823529411764705;2.764705882352941;0.6764705882352942;2.088235294117647;2.6470588235294117;-0.3306736274989625;2.6470588235294117;1.0;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.0;34.0;0.8529411764705882;0.08823529411764706;0.058823529411764705;2.764705882352941;0.6764705882352942;2.088235294117647;2.6470588235294117
2013-2014;semis;Bayern Munich;Real Madrid;0;1.0;34.0;0.8529411764705882;0.08823529411764706;0.058823529411764705;2.764705882352941;0.6764705882352942;2.088235294117647;2.6470588235294117;-0.3306736274989625;2.6470588235294117;1.0;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.367380135333548;2.289473684210526;3.0;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;34.0;0.8529411764705882;0.08823529411764706;0.058823529411764705;2.764705882352941;0.6764705882352942;2.088235294117647;2.6470588235294117;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526
2013-2014;semis;Bayern Munich;Real Madrid;0;1.0;34.0;0.8529411764705882;0.08823529411764706;0.058823529411764705;2.764705882352941;0.6764705882352942;2.088235294117647;2.6470588235294117;-0.3306736274989625;2.6470588235294117;1.0;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526;1.367380135333548;2.289473684210526;3.0;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;34.0;0.8529411764705882;0.08823529411764706;0.058823529411764705;2.764705882352941;0.6764705882352942;2.088235294117647;2.6470588235294117;3.0;38.0;0.7105263157894737;0.15789473684210525;0.13157894736842105;2.736842105263158;1.0;1.736842105263158;2.289473684210526
2013-2014;semis;Atlético Madrid;Chelsea;-1;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788;1.367380135333548;2.3684210526315788;1.0;3.0;38.0;0.6578947368421053;0.18421052631578946;0.15789473684210525;1.868421052631579;0.7105263157894737;1.1578947368421053;2.1578947368421053;0.6524101299303857;2.1578947368421053;3.0;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788;3.0;38.0;0.6578947368421053;0.18421052631578946;0.15789473684210525;1.868421052631579;0.7105263157894737;1.1578947368421053;2.1578947368421053
2013-2014;semis;Atlético Madrid;Chelsea;-1;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788;1.367380135333548;2.3684210526315788;1.0;3.0;38.0;0.6578947368421053;0.18421052631578946;0.15789473684210525;1.868421052631579;0.7105263157894737;1.1578947368421053;2.1578947368421053;0.6524101299303857;2.1578947368421053;3.0;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788;3.0;38.0;0.6578947368421053;0.18421052631578946;0.15789473684210525;1.868421052631579;0.7105263157894737;1.1578947368421053;2.1578947368421053
2013-2014;semis;Chelsea;Atlético Madrid;0;3.0;38.0;0.6578947368421053;0.18421052631578946;0.15789473684210525;1.868421052631579;0.7105263157894737;1.1578947368421053;2.1578947368421053;0.6524101299303857;2.1578947368421053;3.0;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788;1.367380135333548;2.3684210526315788;1.0;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;38.0;0.6578947368421053;0.18421052631578946;0.15789473684210525;1.868421052631579;0.7105263157894737;1.1578947368421053;2.1578947368421053;1.0;38.0;0.7368421052631579;0.15789473684210525;0.10526315789473684;2.026315789473684;0.6842105263157895;1.3421052631578947;2.3684210526315788
