Season;Round;Leg;HomeTeam;AwayTeam;Score;HomeGoals;AwayGoals;WinningTeam;LosingTeam
2014-2015;sixteen;first leg;Basel;Porto;1–1;1;1;Draw;Draw
2014-2015;sixteen;second_leg;Porto;Basel;4–0;4;0;Porto;Basel
2014-2015;sixteen;first leg;Shakhtar;Bayern Munich;0–0;0;0;Draw;Draw
2014-2015;sixteen;second_leg;Bayern Munich;Shakhtar;7–0;7;0;Bayern Munich;Shakhtar
2015-2016;final;first leg;Real Madrid;Atlético Madrid;1–1;1;1;Draw;Draw
2015-2016;semis;first leg;Atlético Madrid;Bayern Munich;1–0;1;0;Atlético Madrid;Bayern Munich
2015-2016;semis;second_leg;Bayern Munich;Atlético Madrid;2–1;2;1;Bayern Munich;Atlético Madrid
2015-2016;semis;first leg;Manchester City;Real Madrid;0–0;0;0;Draw;Draw
2015-2016;semis;second_leg;Real Madrid;Manchester City;1–0;1;0;Real Madrid;Manchester City
2015-2016;quarter;first leg;Barcelona;Atlético Madrid;2–1;2;1;Barcelona;Atlético Madrid
2015-2016;quarter;second_leg;Atlético Madrid;Barcelona;2–0;2;0;Atlético Madrid;Barcelona
2015-2016;quarter;first leg;Wolfsburg;Real Madrid;2–0;2;0;Wolfsburg;Real Madrid
2015-2016;quarter;second_leg;Real Madrid;Wolfsburg;3–0;3;0;Real Madrid;Wolfsburg
2015-2016;quarter;first leg;Bayern Munich;Benfica;1–0;1;0;Bayern Munich;Benfica
2015-2016;quarter;second_leg;Benfica;Bayern Munich;2–2;2;2;Draw;Draw
2015-2016;quarter;first leg;Paris Saint Germain;Manchester City;2–2;2;2;Draw;Draw
2015-2016;quarter;second_leg;Manchester City;Paris Saint Germain;1–0;1;0;Manchester City;Paris Saint Germain
2015-2016;sixteen;first leg;Arsenal;Barcelona;0–2;0;2;Barcelona;Arsenal
2015-2016;sixteen;second_leg;Barcelona;Arsenal;3–1;3;1;Barcelona;Arsenal
2015-2016;sixteen;first leg;Gent;Wolfsburg;2–3;2;3;Wolfsburg;Gent
2015-2016;sixteen;second_leg;Wolfsburg;Gent;1–0;1;0;Wolfsburg;Gent
2015-2016;sixteen;first leg;Benfica;Zenit;1–0;1;0;Benfica;Zenit
2015-2016;sixteen;second_leg;Zenit;Benfica;1–2;1;2;Benfica;Zenit
2015-2016;sixteen;first leg;Dynamo Kyiv;Manchester City;1–3;1;3;Manchester City;Dynamo Kyiv
2015-2016;sixteen;second_leg;Manchester City;Dynamo Kyiv;0–0;0;0;Draw;Draw
2015-2016;sixteen;first leg;Roma;Real Madrid;0–2;0;2;Real Madrid;Roma
2015-2016;sixteen;second_leg;Real Madrid;Roma;2–0;2;0;Real Madrid;Roma
2015-2016;sixteen;first leg;Paris Saint Germain;Chelsea;2–1;2;1;Paris Saint Germain;Chelsea
2015-2016;sixteen;second_leg;Chelsea;Paris Saint Germain;1–2;1;2;Paris Saint Germain;Chelsea
2015-2016;sixteen;first leg;Juventus;Bayern Munich;2–2;2;2;Draw;Draw
2015-2016;sixteen;second_leg;Bayern Munich;Juventus;4–2;4;2;Bayern Munich;Juventus
2015-2016;sixteen;first leg;PSV Eindhoven;Atlético Madrid;0–0;0;0;Draw;Draw
2015-2016;sixteen;second_leg;Atlético Madrid;PSV Eindhoven;0–0;0;0;Draw;Draw
2016-2017;final;first leg;Real Madrid;Juventus;4–1;4;1;Real Madrid;Juventus
2016-2017;semis;first leg;Real Madrid;Atlético Madrid;3–0;3;0;Real Madrid;Atlético Madrid
2016-2017;semis;second_leg;Atlético Madrid;Real Madrid;2–1;2;1;Atlético Madrid;Real Madrid
2016-2017;semis;first leg;Monaco;Juventus;0–2;0;2;Juventus;Monaco
2016-2017;semis;second_leg;Juventus;Monaco;2–1;2;1;Juventus;Monaco
2016-2017;quarter;first leg;Bayern Munich;Real Madrid;1–2;1;2;Real Madrid;Bayern Munich
2016-2017;quarter;second_leg;Real Madrid;Bayern Munich;4–2;4;2;Real Madrid;Bayern Munich
2016-2017;quarter;first leg;Juventus;Barcelona;3–0;3;0;Juventus;Barcelona
2016-2017;quarter;second_leg;Barcelona;Juventus;0–0;0;0;Draw;Draw
2016-2017;quarter;first leg;Atlético Madrid;Leicester City;1–0;1;0;Atlético Madrid;Leicester City
2016-2017;quarter;second_leg;Leicester City;Atlético Madrid;1–1;1;1;Draw;Draw
2016-2017;quarter;first leg;Borussia Dortmund;Monaco;2–3;2;3;Monaco;Borussia Dortmund
2016-2017;quarter;second_leg;Monaco;Borussia Dortmund;3–1;3;1;Monaco;Borussia Dortmund
2016-2017;sixteen;first leg;Bayern Munich;Arsenal;5–1;5;1;Bayern Munich;Arsenal
2016-2017;sixteen;second_leg;Arsenal;Bayern Munich;1–5;1;5;Bayern Munich;Arsenal
2016-2017;sixteen;first leg;Porto;Juventus;0–2;0;2;Juventus;Porto
2016-2017;sixteen;second_leg;Juventus;Porto;1–0;1;0;Juventus;Porto
2016-2017;sixteen;first leg;Benfica;Borussia Dortmund;1–0;1;0;Benfica;Borussia Dortmund
2016-2017;sixteen;second_leg;Borussia Dortmund;Benfica;4–0;4;0;Borussia Dortmund;Benfica
2016-2017;sixteen;first leg;Sevilla;Leicester City;2–1;2;1;Sevilla;Leicester City
2016-2017;sixteen;second_leg;Leicester City;Sevilla;2–0;2;0;Leicester City;Sevilla
2016-2017;sixteen;first leg;Manchester City;Monaco;5–3;5;3;Manchester City;Monaco
2016-2017;sixteen;second_leg;Monaco;Manchester City;3–1;3;1;Monaco;Manchester City
2016-2017;sixteen;first leg;Bayer Leverkusen;Atlético Madrid;2–4;2;4;Atlético Madrid;Bayer Leverkusen
2016-2017;sixteen;second_leg;Atlético Madrid;Bayer Leverkusen;0–0;0;0;Draw;Draw
2016-2017;sixteen;first leg;Real Madrid;Napoli;3–1;3;1;Real Madrid;Napoli
2016-2017;sixteen;second_leg;Napoli;Real Madrid;1–3;1;3;Real Madrid;Napoli
2016-2017;sixteen;first leg;Paris Saint Germain;Barcelona;4–0;4;0;Paris Saint Germain;Barcelona
2016-2017;sixteen;second_leg;Barcelona;Paris Saint Germain;6–1;6;1;Barcelona;Paris Saint Germain
2017-2018;final;first leg;Real Madrid;Liverpool;3–1;3;1;Real Madrid;Liverpool
2017-2018;semis;first leg;Bayern Munich;Real Madrid;1–2;1;2;Real Madrid;Bayern Munich
2017-2018;semis;second_leg;Real Madrid;Bayern Munich;2–2;2;2;Draw;Draw
2017-2018;semis;first leg;Liverpool;Roma;5–2;5;2;Liverpool;Roma
2017-2018;semis;second_leg;Roma;Liverpool;4–2;4;2;Roma;Liverpool
2017-2018;quarter;first leg;Barcelona;Roma;4–1;4;1;Barcelona;Roma
2017-2018;quarter;second_leg;Roma;Barcelona;3–0;3;0;Roma;Barcelona
2017-2018;quarter;first leg;Sevilla;Bayern Munich;1–2;1;2;Bayern Munich;Sevilla
2017-2018;quarter;second_leg;Bayern Munich;Sevilla;0–0;0;0;Draw;Draw
2017-2018;quarter;first leg;Liverpool;Manchester City;3–0;3;0;Liverpool;Manchester City
2017-2018;quarter;second_leg;Manchester City;Liverpool;1–2;1;2;Liverpool;Manchester City
2017-2018;quarter;first leg;Juventus;Real Madrid;0–3;0;3;Real Madrid;Juventus
2017-2018;quarter;second_leg;Real Madrid;Juventus;1–3;1;3;Juventus;Real Madrid
2017-2018;sixteen;first leg;Bayern Munich;Beşiktaş;5–0;5;0;Bayern Munich;Beşiktaş
2017-2018;sixteen;second_leg;Beşiktaş;Bayern Munich;1–3;1;3;Bayern Munich;Beşiktaş
2017-2018;sixteen;first leg;Sevilla;Manchester United;0–0;0;0;Draw;Draw
2017-2018;sixteen;second_leg;Manchester United;Sevilla;1–2;1;2;Sevilla;Manchester United
2017-2018;sixteen;first leg;Juventus;Tottenham Hotspur;2–2;2;2;Draw;Draw
2017-2018;sixteen;second_leg;Tottenham Hotspur;Juventus;1–2;1;2;Juventus;Tottenham Hotspur
2017-2018;sixteen;first leg;Porto;Liverpool;0–5;0;5;Liverpool;Porto
2017-2018;sixteen;second_leg;Liverpool;Porto;0–0;0;0;Draw;Draw
2017-2018;sixteen;first leg;Chelsea;Barcelona;1–1;1;1;Draw;Draw
2017-2018;sixteen;second_leg;Barcelona;Chelsea;3–0;3;0;Barcelona;Chelsea
2017-2018;sixteen;first leg;Basel;Manchester City;0–4;0;4;Manchester City;Basel
2017-2018;sixteen;second_leg;Manchester City;Basel;1–2;1;2;Basel;Manchester City
2017-2018;sixteen;first leg;Real Madrid;Paris Saint Germain;3–1;3;1;Real Madrid;Paris Saint Germain
2017-2018;sixteen;second_leg;Paris Saint Germain;Real Madrid;1–2;1;2;Real Madrid;Paris Saint Germain
2017-2018;sixteen;first leg;Shakhtar;Roma;2–1;2;1;Shakhtar;Roma
2017-2018;sixteen;second_leg;Roma;Shakhtar;1–0;1;0;Roma;Shakhtar
2018-2019;final;first leg;Liverpool;Tottenham Hotspur;2–0;2;0;Liverpool;Tottenham Hotspur
2018-2019;semis;first leg;Tottenham Hotspur;Ajax;0–1;0;1;Ajax;Tottenham Hotspur
2018-2019;semis;second_leg;Ajax;Tottenham Hotspur;2–3;2;3;Tottenham Hotspur;Ajax
2018-2019;semis;first leg;Barcelona;Liverpool;3–0;3;0;Barcelona;Liverpool
2018-2019;semis;second_leg;Liverpool;Barcelona;4–0;4;0;Liverpool;Barcelona
2018-2019;quarter;first leg;Manchester United;Barcelona;0–1;0;1;Barcelona;Manchester United
2018-2019;quarter;second_leg;Barcelona;Manchester United;3–0;3;0;Barcelona;Manchester United
2018-2019;quarter;first leg;Liverpool;Porto;2–0;2;0;Liverpool;Porto
2018-2019;quarter;second_leg;Porto;Liverpool;1–4;1;4;Liverpool;Porto
2018-2019;quarter;first leg;Tottenham Hotspur;Manchester City;1–0;1;0;Tottenham Hotspur;Manchester City
2018-2019;quarter;second_leg;Manchester City;Tottenham Hotspur;4–3;4;3;Manchester City;Tottenham Hotspur
2018-2019;quarter;first leg;Ajax;Juventus;1–1;1;1;Draw;Draw
2018-2019;quarter;second_leg;Juventus;Ajax;1–2;1;2;Ajax;Juventus
2018-2019;sixteen;first leg;Liverpool;Bayern Munich;0–0;0;0;Draw;Draw
2018-2019;sixteen;second_leg;Bayern Munich;Liverpool;1–3;1;3;Liverpool;Bayern Munich
2018-2019;sixteen;first leg;Ajax;Real Madrid;1–2;1;2;Real Madrid;Ajax
2018-2019;sixteen;second_leg;Real Madrid;Ajax;1–4;1;4;Ajax;Real Madrid
2018-2019;sixteen;first leg;Tottenham Hotspur;Borussia Dortmund;3–0;3;0;Tottenham Hotspur;Borussia Dortmund
2018-2019;sixteen;second_leg;Borussia Dortmund;Tottenham Hotspur;0–1;0;1;Tottenham Hotspur;Borussia Dortmund
2018-2019;sixteen;first leg;Schalke 04;Manchester City;2–3;2;3;Manchester City;Schalke 04
2018-2019;sixteen;second_leg;Manchester City;Schalke 04;7–0;7;0;Manchester City;Schalke 04
2018-2019;sixteen;first leg;Roma;Porto;2–1;2;1;Roma;Porto
2018-2019;sixteen;second_leg;Porto;Roma;3–1;3;1;Porto;Roma
2018-2019;sixteen;first leg;Lyon;Barcelona;0–0;0;0;Draw;Draw
2018-2019;sixteen;second_leg;Barcelona;Lyon;5–1;5;1;Barcelona;Lyon
2018-2019;sixteen;first leg;Atlético Madrid;Juventus;2–0;2;0;Atlético Madrid;Juventus
2018-2019;sixteen;second_leg;Juventus;Atlético Madrid;3–0;3;0;Juventus;Atlético Madrid
2018-2019;sixteen;first leg;Manchester United;Paris Saint Germain;0–2;0;2;Paris Saint Germain;Manchester United
2018-2019;sixteen;second_leg;Paris Saint Germain;Manchester United;1–3;1;3;Manchester United;Paris Saint Germain
2019-2020;final;first leg;Bayern Munich;Paris Saint Germain;1–0;1;0;Bayern Munich;Paris Saint Germain
2019-2020;sixteen;first leg;Tottenham Hotspur;RB Leipzig;0–1;0;1;RB Leipzig;Tottenham Hotspur
2019-2020;sixteen;second_leg;RB Leipzig;Tottenham Hotspur;3–0;3;0;RB Leipzig;Tottenham Hotspur
2019-2020;sixteen;first leg;Real Madrid;Manchester City;1–2;1;2;Manchester City;Real Madrid
2019-2020;sixteen;second_leg;Manchester City;Real Madrid;2–1;2;1;Manchester City;Real Madrid
2019-2020;sixteen;first leg;Atlético Madrid;Liverpool;1–0;1;0;Atlético Madrid;Liverpool
2019-2020;sixteen;second_leg;Liverpool;Atlético Madrid;2–3;2;3;Atlético Madrid;Liverpool
2019-2020;sixteen;first leg;Borussia Dortmund;Paris Saint Germain;2–1;2;1;Borussia Dortmund;Paris Saint Germain
2019-2020;sixteen;second_leg;Paris Saint Germain;Borussia Dortmund;2–0;2;0;Paris Saint Germain;Borussia Dortmund
2019-2020;sixteen;first leg;Chelsea;Bayern Munich;0–3;0;3;Bayern Munich;Chelsea
2019-2020;sixteen;second_leg;Bayern Munich;Chelsea;4–1;4;1;Bayern Munich;Chelsea
2019-2020;sixteen;first leg;Napoli;Barcelona;1–1;1;1;Draw;Draw
2019-2020;sixteen;second_leg;Barcelona;Napoli;3–1;3;1;Barcelona;Napoli
2019-2020;sixteen;first leg;Atalanta;Valencia;4–1;4;1;Atalanta;Valencia
2019-2020;sixteen;second_leg;Valencia;Atalanta;3–4;3;4;Atalanta;Valencia
2019-2020;sixteen;first leg;Lyon;Juventus;1–0;1;0;Lyon;Juventus
2019-2020;sixteen;second_leg;Juventus;Lyon;2–1;2;1;Juventus;Lyon
2020-2021;final;first leg;Chelsea;Manchester City;1–0;1;0;Chelsea;Manchester City
2020-2021;semis;first leg;Real Madrid;Chelsea;1–1;1;1;Draw;Draw
2020-2021;semis;second_leg;Chelsea;Real Madrid;2–0;2;0;Chelsea;Real Madrid
2020-2021;semis;first leg;Paris Saint Germain;Manchester City;1–2;1;2;Manchester City;Paris Saint Germain
2020-2021;semis;second_leg;Manchester City;Paris Saint Germain;2–0;2;0;Manchester City;Paris Saint Germain
2020-2021;quarter;first leg;Bayern Munich;Paris Saint Germain;2–3;2;3;Paris Saint Germain;Bayern Munich
2020-2021;quarter;second_leg;Paris Saint Germain;Bayern Munich;0–1;0;1;Bayern Munich;Paris Saint Germain
2020-2021;quarter;first leg;Porto;Chelsea;0–2;0;2;Chelsea;Porto
2020-2021;quarter;second_leg;Chelsea;Porto;0–1;0;1;Porto;Chelsea
2020-2021;quarter;first leg;Real Madrid;Liverpool;3–1;3;1;Real Madrid;Liverpool
2020-2021;quarter;second_leg;Liverpool;Real Madrid;0–0;0;0;Draw;Draw
2020-2021;quarter;first leg;Manchester City;Borussia Dortmund;2–1;2;1;Manchester City;Borussia Dortmund
2020-2021;quarter;second_leg;Borussia Dortmund;Manchester City;1–2;1;2;Manchester City;Borussia Dortmund
2020-2021;sixteen;first leg;Barcelona;Paris Saint Germain;1–4;1;4;Paris Saint Germain;Barcelona
2020-2021;sixteen;second_leg;Paris Saint Germain;Barcelona;1–1;1;1;Draw;Draw
