Season;Round;Leg;HomeTeam;AwayTeam;Score
2021-2022;quarter;second_leg;Bayern Munich;Villarreal;1–1
2021-2022;quarter;first leg;Benfica;Liverpool;1–3
2021-2022;quarter;second_leg;Liverpool;Benfica;3–3
2021-2022;quarter;first leg;Chelsea;Real Madrid;1–3
2021-2022;quarter;second_leg;Real Madrid;Chelsea;2–3
2021-2022;quarter;first leg;Manchester City;Atlético Madrid;1–0
2021-2022;quarter;second_leg;Atlético Madrid;Manchester City;0–0
2021-2022;sixteen;first leg;Sporting CP;Manchester City;0–5
2021-2022;sixteen;second_leg;Manchester City;Sporting CP;0–0
2021-2022;sixteen;first leg;Atlético Madrid;Manchester Utd;1–1
2021-2022;sixteen;second_leg;Manchester Utd;Atlético Madrid;0–1
2021-2022;sixteen;first leg;Benfica;Ajax;2–2
2021-2022;sixteen;second_leg;Ajax;Benfica;0–1
2021-2022;sixteen;first leg;RB Salzburg;Bayern Munich;1–1
2021-2022;sixteen;second_leg;Bayern Munich;RB Salzburg;7–1
2021-2022;sixteen;first leg;Chelsea;Lille;2–0
2021-2022;sixteen;second_leg;Lille;Chelsea;1–2
2021-2022;sixteen;first leg;Inter;Liverpool;0–2
2021-2022;sixteen;second_leg;Liverpool;Inter;0–1
2021-2022;sixteen;first leg;Villarreal;Juventus;1–1
2021-2022;sixteen;second_leg;Juventus;Villarreal;0–3
2021-2022;sixteen;first leg;Paris S-G;Real Madrid;1–0
2021-2022;sixteen;second_leg;Real Madrid;Paris S-G;3–1
2022-2023;final;first leg;Manchester City;Inter;1–0
2022-2023;semis;first leg;Real Madrid;Manchester City;1–1
2022-2023;semis;second_leg;Manchester City;Real Madrid;4–0
2022-2023;semis;first leg;Milan;Inter;0–2
2022-2023;semis;second_leg;Inter;Milan;1–0
2022-2023;quarter;first leg;Manchester City;Bayern Munich;3–0
2022-2023;quarter;second_leg;Bayern Munich;Manchester City;1–1
2022-2023;quarter;first leg;Benfica;Inter;0–2
2022-2023;quarter;second_leg;Inter;Benfica;3–3
2022-2023;quarter;first leg;Real Madrid;Chelsea;2–0
2022-2023;quarter;second_leg;Chelsea;Real Madrid;0–2
2022-2023;quarter;first leg;Milan;Napoli;1–0
2022-2023;quarter;second_leg;Napoli;Milan;1–1
2022-2023;sixteen;first leg;Milan;Tottenham;1–0
2022-2023;sixteen;second_leg;Tottenham;Milan;0–0
2022-2023;sixteen;first leg;Inter;Porto;1–0
2022-2023;sixteen;second_leg;Porto;Inter;0–0
2022-2023;sixteen;first leg;Liverpool;Real Madrid;2–5
2022-2023;sixteen;second_leg;Real Madrid;Liverpool;1–0
2022-2023;sixteen;first leg;RB Leipzig;Manchester City;1–1
2022-2023;sixteen;second_leg;Manchester City;RB Leipzig;7–0
2022-2023;sixteen;first leg;Dortmund;Chelsea;1–0
2022-2023;sixteen;second_leg;Chelsea;Dortmund;2–0
2022-2023;sixteen;first leg;Paris S-G;Bayern Munich;0–1
2022-2023;sixteen;second_leg;Bayern Munich;Paris S-G;2–0
2022-2023;sixteen;first leg;Eint Frankfurt;Napoli;0–2
2022-2023;sixteen;second_leg;Napoli;Eint Frankfurt;3–0
2022-2023;sixteen;first leg;Club Brugge;Benfica;0–2
2022-2023;sixteen;second_leg;Benfica;Club Brugge;5–1
